,underlying,triple,years,start,gap,P/L
207,XBI,LABU,9,2016-02-23,18.216755813191355,1275.5140845238557
208,XBI,LABU,6,2017-02-21,7.731485371270303,541.0466500652254
209,XBI,LABU,7,2017-02-04,8.88855580110338,709.820477374489
210,XLF,FAS,7,2013-09-28,-84.7175842521048,-536.2559728065785
211,XLF,FAS,7,2010-03-10,-85.69346495691894,-14.130739544597645
212,XLF,FAS,14,2010-04-12,-354.8158474624892,-534.9039575767429
213,XLF,FAS,8,2016-05-28,-107.25659791597172,-108.13978206325692
214,XLF,FAS,9,2010-03-17,-197.6667606503322,-420.6684435908205
215,XLF,FAS,14,2008-11-30,-475.6599935100072,-1183.7742460804002
216,XLF,FAS,15,2008-12-31,-309.15250931360157,-743.3204665497551
217,XLF,FAS,14,2010-02-19,-505.85829585958925,-642.1349284002927
218,XLF,FAS,7,2018-05-13,-68.44320718731521,-65.35757630164562
219,XLF,FAS,10,2009-03-07,-1072.4517414992097,-548.7024710818969
220,XLF,FAS,13,2012-07-29,-787.4143025397816,7.115971889872526
221,XLF,FAS,7,2014-02-05,-162.8168821762319,-512.6684509594593
222,XLF,FAS,15,2009-02-02,-808.8899242766164,-836.6886055031391
223,XLF,FAS,13,2010-06-11,-360.27101632908324,-822.6889143318822
224,XLF,FAS,6,2011-02-09,-76.00852426860328,-112.16297115690054
225,XLF,FAS,14,2010-10-31,-760.3454063580117,-377.6316090642831
226,XLF,FAS,14,2010-05-12,-424.318088639485,-503.65667161386136
227,XLF,FAS,7,2011-09-08,-278.00539570349974,-115.71167685480759
228,XLF,FAS,8,2011-02-11,-158.93117050788618,-378.6040015138342
229,XLF,FAS,6,2018-03-08,-56.70892227144533,-277.0691243503627
230,XLF,FAS,6,2017-02-07,-92.41805082290973,-409.3993066983626
231,XLF,FAS,13,2010-07-05,-481.72262222495567,-884.2595312782869
232,XLF,FAS,12,2010-10-19,-400.1711982337825,-944.8822169211317
233,XLF,FAS,11,2013-02-08,-317.397898796066,-434.894543154614
234,XLF,FAS,10,2015-06-01,-145.73839863109998,29.618818947778948
235,XLF,FAS,14,2009-02-06,-733.6447273668845,-1200.9927759267048
236,XLF,FAS,15,2009-02-27,-1467.8906652042542,-890.2853468979392
237,XLF,FAS,8,2012-01-17,-495.1315408673179,-395.60123857622557
238,XLF,FAS,14,2010-04-08,-389.8454654688215,-531.6661733226874
239,XLF,FAS,13,2009-02-24,-1726.212650933543,-1281.4199712005538
240,XLF,FAS,13,2009-01-30,-1190.9326508744994,-1220.9785214134408
241,XLF,FAS,8,2010-10-19,-195.2660900946048,-191.9062153859736
242,XLF,FAS,14,2009-12-08,-405.73166856197025,-699.0140612924206
243,XLF,FAS,13,2011-08-22,-1074.8626167412997,-430.0230809506629
244,XLF,FAS,12,2011-10-07,-637.0439738262123,-784.1579377615135
