,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2017-10-12,254.64,-0.0,1.04,39.8,-0.0,1.12,-0.0,1.11,12.56,-27.67,3199.3,-1101.46,2097.84,-105.08
2017-10-13,254.95,0.0,1.04,39.93,0.0,1.12,0.0,1.11,12.56,-27.67,3203.19,-1105.06,2098.13,-111.98
2017-10-16,255.29,0.0,1.04,40.08,0.0,1.12,0.0,1.12,12.56,-27.67,3207.47,-1109.21,2098.26,-120.16
2017-10-17,255.47,0.0,1.04,40.16,0.0,1.13,0.0,1.12,12.56,-27.67,3209.73,-1111.42,2098.3,-124.55
2017-10-18,255.72,0.0,1.04,40.26,0.0,1.13,0.0,1.12,12.56,-27.67,3212.87,-1114.19,2098.68,-129.71
2017-10-19,255.79,0.0,1.04,40.32,0.0,1.13,0.0,1.13,12.56,-27.67,3213.75,-1115.85,2097.9,-133.81
2017-10-20,257.11,0.01,1.05,40.88,0.01,1.15,0.02,1.14,12.88,-27.36,3312.19,-1118.33,2193.86,-42.81
2017-10-23,256.11,-0.0,1.04,40.46,-0.01,1.13,-0.01,1.13,12.88,-27.36,3299.31,-1106.84,2192.46,-21.23
2017-10-24,256.56,0.0,1.04,40.65,0.0,1.14,0.01,1.14,12.88,-27.36,3305.11,-1112.04,2193.06,-31.02
2017-10-25,255.29,-0.0,1.04,40.07,-0.01,1.12,-0.01,1.12,12.88,-27.36,3288.74,-1096.18,2192.57,0.22
2017-10-26,255.62,0.0,1.04,40.2,0.0,1.13,0.0,1.12,12.88,-27.36,3293.0,-1099.73,2193.26,-6.2
2017-10-27,257.71,0.01,1.05,41.15,0.02,1.15,0.02,1.15,12.88,-27.36,3319.92,-1125.72,2194.2,-57.24
2017-10-30,256.75,-0.0,1.05,40.73,-0.01,1.14,-0.01,1.14,12.88,-27.36,3307.55,-1114.23,2193.32,-35.14
2017-10-31,257.15,0.0,1.05,40.87,0.0,1.15,0.0,1.14,12.88,-27.36,3312.71,-1118.06,2194.65,-41.48
2017-11-01,257.49,0.0,1.05,41.07,0.0,1.15,0.0,1.15,12.88,-27.36,3317.09,-1123.53,2193.55,-53.51
2017-11-02,257.59,0.0,1.05,41.1,0.0,1.15,0.0,1.15,12.88,-27.36,3318.37,-1124.35,2194.02,-54.68
2017-11-03,258.45,0.0,1.05,41.46,0.01,1.16,0.01,1.16,12.88,-27.36,3329.45,-1134.2,2195.25,-73.15
2017-11-06,258.85,0.0,1.05,41.63,0.0,1.17,0.0,1.17,12.88,-27.36,3334.61,-1138.85,2195.75,-81.95
2017-11-07,258.67,-0.0,1.05,41.6,-0.0,1.17,-0.0,1.16,12.88,-27.36,3332.29,-1138.03,2194.26,-81.81
2017-11-08,259.11,0.0,1.05,41.81,0.01,1.17,0.01,1.17,12.88,-27.36,3337.96,-1143.78,2194.18,-93.37
