,underlying,triple,years,start,gap,P/L
175,XBI,LABU,6,2016-12-15,8.765141597018577,546.7796316554393
176,XBI,LABU,9,2015-07-24,3.0188300655130655,656.59213921659
177,XBI,LABU,9,2015-10-02,7.2215762216862895,871.4550856832915
178,XBI,LABU,9,2015-09-12,4.224045462940786,730.3200026779109
179,XBI,LABU,8,2017-07-31,4.875480364407989,819.5713380085933
180,XBI,LABU,8,2016-09-30,10.86799160025735,837.0746618852988
181,XBI,LABU,9,2015-12-24,5.003166743989875,835.0619300705735
182,XBI,LABU,9,2015-12-29,4.802124078876572,829.3361846201387
183,XBI,LABU,7,2017-04-01,10.1213457787159,711.7797326071035
184,XBI,LABU,9,2016-08-01,7.1039922910264295,1028.739240629412
185,XBI,LABU,7,2016-08-20,6.052897208837914,664.8781761943474
186,XBI,LABU,6,2015-08-23,20.084030975156466,414.39786640583793
187,XBI,LABU,9,2015-08-17,3.529037246647861,702.6743895131351
188,XBI,LABU,8,2015-06-03,2.3018454467696494,528.3376310694026
189,XBI,LABU,9,2015-08-24,6.416570870984439,834.4611393819808
190,XBI,LABU,9,2016-02-17,14.914185493643782,1194.3204891390133
191,XBI,LABU,6,2016-06-26,13.624557400581743,620.2319818379492
192,XBI,LABU,7,2018-01-31,4.150570056877916,609.6892244071246
193,XBI,LABU,6,2019-05-28,4.444711142224573,632.176635432567
194,XBI,LABU,7,2015-10-18,4.222051772272133,515.9865004291136
195,XBI,LABU,8,2017-03-07,7.268567347054077,865.8426336262946
196,XBI,LABU,7,2017-07-10,7.277953357079635,675.2922707729582
197,XBI,LABU,6,2019-07-31,5.080859030578083,611.3550513907053
198,XBI,LABU,8,2015-10-27,2.18836083457714,666.0041525518454
199,XBI,LABU,6,2018-08-15,4.857534696826303,519.3351112651886
200,XBI,LABU,8,2016-02-19,16.79782689209412,960.4959297552499
201,XBI,LABU,9,2015-08-23,6.165984154288483,834.9810231156099
202,XBI,LABU,9,2015-09-19,4.939786278982794,755.3667743436738
203,XBI,LABU,9,2016-07-13,10.626582450090554,1147.568002679121
204,XBI,LABU,8,2016-06-16,14.105314707868793,951.5377319921256
205,XBI,LABU,8,2016-05-12,16.528542065714984,1030.9673169053085
206,XBI,LABU,6,2019-01-26,7.772661087045025,630.7001462534499
207,XBI,LABU,6,2019-01-03,10.425118542225905,702.2073395612731
208,XBI,LABU,8,2017-05-19,5.244530442256012,895.3565173774311
209,XBI,LABU,9,2015-06-06,2.765067892984591,657.717475560999
210,XLF,FAS,6,2019-07-25,-21.69381031753639,153.5524739959103
211,XLF,FAS,9,2014-03-09,-151.4605247742909,-504.3043303053323
212,XLF,FAS,8,2016-10-05,-119.37768163099679,-43.2166311668243
213,XLF,FAS,7,2016-09-11,-68.98652813605,-215.97253046235775
214,XLF,FAS,9,2015-10-28,-132.12135815620155,-63.06512597451538
215,XLF,FAS,11,2013-12-16,-298.93949239430464,-145.53175583563598
216,XLF,FAS,9,2013-11-19,-198.06570917010077,-579.5124757029425
217,XLF,FAS,9,2009-11-13,-202.1650637828539,-256.1206973973717
218,XLF,FAS,13,2011-06-02,-476.10874942237024,-447.04580954297217
219,XLF,FAS,13,2009-01-06,-524.1131872632159,-965.9779027634531
220,XLF,FAS,15,2009-06-27,-843.2637836125444,-674.5494771039785
221,XLF,FAS,11,2010-07-04,-827.038743504237,-886.814658494749
222,XLF,FAS,6,2012-01-19,-64.00605774935343,185.38605603010183
223,XLF,FAS,6,2017-07-13,-54.59196371636182,-332.2215568170775
224,XLF,FAS,12,2013-01-19,-541.397589784505,-176.07927316347377
225,XLF,FAS,15,2010-06-10,-788.1457607719464,-168.40755967351652
226,XLF,FAS,10,2013-01-19,-326.7067474637544,-680.8965970585605
227,XLF,FAS,13,2011-10-05,-1310.1231394366446,-416.65301649986395
228,XLF,FAS,11,2009-08-09,-217.71413221141714,-911.2039542903776
229,XLF,FAS,12,2010-07-10,-433.4711747563154,-1005.6235291675785
230,XLF,FAS,6,2017-04-29,-57.581050887896254,-347.8585802957157
231,XLF,FAS,6,2013-10-05,-138.75822696492816,-362.06873764273587
232,XLF,FAS,14,2010-03-26,-423.80408002361423,-576.423921383358
233,XLF,FAS,15,2010-03-29,-552.8712426874526,-244.1955920282462
234,XLF,FAS,11,2010-03-01,-424.8181377434408,-862.6822846793384
235,XLF,FAS,7,2017-04-24,-81.9364582350652,-209.36275702008015
236,XLF,FAS,14,2010-11-26,,0.0
237,XLF,FAS,12,2009-03-31,-1373.8939066771945,-1313.6207779123852
238,XLF,FAS,13,2010-06-19,-353.44093600704883,-799.9311556893199
239,XLF,FAS,13,2012-04-19,-574.1220103949906,-136.2808134993702
240,XLF,FAS,7,2011-07-08,-164.08338605947023,-224.6632612192766
241,XLF,FAS,8,2008-12-29,-119.21055753955562,3.578075164291022
242,XLF,FAS,15,2009-03-06,-2638.912513850529,-1042.7011241226592
243,XLF,FAS,10,2012-07-15,-375.6494355058764,-821.5265962335989
244,XLF,FAS,10,2009-07-27,-481.35446640847044,-584.5055343676313
